pair,atr_pct,eff_ratio,spread_pip,best_session,asia,london,ny,vol_rank,trend_rank,cost_rank,scalp_score
XAUUSD,0.1414,0.202,0.22,NY,0.1153,0.125,0.1508,2.0,1.0,3.0,1.0
XAGUSD,0.2653,0.194,0.01,NY,0.2116,0.2356,0.2889,1.0,5.0,1.0,2.0
NZDUSD,0.0759,0.196,0.6,NY,0.0662,0.0729,0.0765,5.0,3.0,10.0,3.0
AUDUSD,0.0741,0.192,0.3,NY,0.0629,0.0724,0.0751,6.0,8.5,4.0,4.0
USDJPY,0.0719,0.201,0.5,London,0.0624,0.0727,0.0713,9.0,2.0,8.0,5.0
AUDJPY,0.0872,0.194,0.9,London,0.0808,0.0871,0.0812,3.0,5.0,15.0,6.0
NZDJPY,0.0845,0.192,1.0,London,0.0812,0.0837,0.078,4.0,8.5,18.0,7.0
EURUSD,0.0522,0.193,0.2,NY,0.0332,0.0513,0.0631,24.0,7.0,2.0,8.0
USDCHF,0.0602,0.189,0.4,NY,0.0406,0.0567,0.0705,16.5,13.0,5.5,9.0
GBPUSD,0.0558,0.194,0.5,NY,0.0355,0.0543,0.068,23.0,5.0,8.0,10.0
AUDCHF,0.0739,0.185,0.7,NY,0.0643,0.0715,0.0743,7.0,19.0,11.5,11.0
CADJPY,0.0724,0.191,1.2,NY,0.0622,0.0704,0.0727,8.0,11.0,22.5,12.0
EURJPY,0.0655,0.191,1.2,London,0.0568,0.0691,0.069,12.5,11.0,22.5,13.0
NZDCHF,0.0716,0.183,1.0,NY,0.0636,0.0682,0.0709,10.0,22.5,18.0,14.0
NZDCAD,0.0613,0.186,1.1,NY,0.0558,0.0569,0.0608,14.0,17.0,20.0,15.5
GBPJPY,0.0715,0.191,1.5,NY,0.0602,0.0731,0.0765,11.0,11.0,29.0,15.5
USDCAD,0.0389,0.186,0.4,NY,0.0264,0.0336,0.0446,29.0,17.0,5.5,17.0
EURAUD,0.0605,0.188,1.2,NY,0.054,0.0603,0.0614,15.0,14.5,22.5,18.0
CHFJPY,0.0655,0.186,1.3,NY,0.0571,0.0661,0.0665,12.5,17.0,26.0,19.0
AUDCAD,0.0581,0.182,0.9,NY,0.0523,0.0554,0.0584,21.0,24.5,15.0,20.5
EURNZD,0.0601,0.188,1.4,NY,0.0556,0.0581,0.059,18.0,14.5,28.0,20.5
CADCHF,0.0584,0.179,0.9,NY,0.0384,0.052,0.0672,20.0,26.0,15.0,22.0
GBPNZD,0.0602,0.184,1.3,NY,0.0542,0.0578,0.0612,16.5,20.5,26.0,23.0
EURGBP,0.0386,0.173,0.5,NY,0.0229,0.0375,0.0495,30.0,29.0,8.0,24.5
GBPCHF,0.0568,0.177,1.0,NY,0.035,0.053,0.0666,22.0,27.0,18.0,24.5
EURCHF,0.0446,0.17,0.7,NY,0.0286,0.0416,0.0523,27.0,30.0,11.5,26.0
AUDNZD,0.0436,0.174,0.8,Asia,0.0454,0.0414,0.0381,28.0,28.0,13.0,27.0
GBPAUD,0.0599,0.184,1.7,NY,0.0524,0.0595,0.0627,19.0,20.5,30.0,28.0
EURCAD,0.0464,0.183,1.2,NY,0.0295,0.0419,0.0565,26.0,22.5,22.5,29.0
GBPCAD,0.0491,0.182,1.3,NY,0.0294,0.0441,0.0609,25.0,24.5,26.0,30.0
