sym,date,dir,sess,cat,entry,exit,er,lot,pnl,tp1hit,q,balance,month,date_dt,key
AUDUSD,2026-04-14,LONG,LONDON,Major,0.70813,0.71123,TP2,1.07,331.7,True,9,16947.93,2026-04,2026-04-14,2026-04-14|AUDUSD|LONG
USDCAD,2026-04-15,SHORT,LONDON,Major,1.37776,1.37694,TRAIL,1.19,116.5,True,7,17064.43,2026-04,2026-04-15,2026-04-15|USDCAD|SHORT
XAUUSD,2026-04-17,LONG,LONDON,Metal,4781.56,4789.335,TP2,0.27,209.92,True,10,17274.35,2026-04,2026-04-17,2026-04-17|XAUUSD|LONG
USDCAD,2026-04-21,SHORT,LONDON,Major,1.36503,1.36591,SL,1.57,-138.16,False,7,17136.19,2026-04,2026-04-21,2026-04-21|USDCAD|SHORT
USDCAD,2026-04-23,SHORT,LONDON,Major,1.3674,1.3667,TRAIL,1.26,112.96,True,7,17249.15,2026-04,2026-04-23,2026-04-23|USDCAD|SHORT
USDCAD,2026-04-28,SHORT,LONDON,Major,1.36353,1.3647,SL,1.18,-138.06,False,7,17111.09,2026-04,2026-04-28,2026-04-28|USDCAD|SHORT
XAUUSD,2026-04-29,SHORT,LONDON,Metal,4600.9,4603.82,SL,0.29,-84.68,False,10,17026.41,2026-04,2026-04-29,2026-04-29|XAUUSD|SHORT
AUDNZD,2026-04-30,LONG,NY,Cross,1.21646,1.22051,TP2,0.84,340.2,True,4,17366.61,2026-04,2026-04-30,2026-04-30|AUDNZD|LONG
XAUUSD,2026-05-01,SHORT,LONDON,Metal,4626.72,4612.12,TP2,0.15,219.0,True,10,17585.61,2026-05,2026-05-01,2026-05-01|XAUUSD|SHORT
AUDCHF,2026-05-01,LONG,LONDON,Cross,0.56162,0.56231,EOD,1.17,80.73,False,5,17666.34,2026-05,2026-05-01,2026-05-01|AUDCHF|LONG
AUDUSD,2026-05-05,LONG,NY,Major,0.71574,0.71643,TRAIL,1.18,111.51,True,9,17777.85,2026-05,2026-05-05,2026-05-05|AUDUSD|LONG
USDCAD,2026-05-05,SHORT,LONDON,Major,1.36255,1.36154,TRAIL,1.15,129.26,True,7,17907.11,2026-05,2026-05-05,2026-05-05|USDCAD|SHORT
USDCAD,2026-05-07,LONG,NY,Major,1.36222,1.36265,TRAIL,1.42,102.03,True,7,18009.14,2026-05,2026-05-07,2026-05-07|USDCAD|LONG
AUDNZD,2026-05-07,SHORT,LONDON,Cross,1.21522,1.21303,EOD_trail,0.61,138.77,True,4,18147.91,2026-05,2026-05-07,2026-05-07|AUDNZD|SHORT
USDCHF,2026-05-08,SHORT,LONDON,Major,0.78049,0.77951,TRAIL,1.32,137.28,True,7,18285.19,2026-05,2026-05-08,2026-05-08|USDCHF|SHORT
AUDNZD,2026-05-12,LONG,LONDON,Cross,1.21364,1.21436,TRAIL,1.46,125.56,True,4,18410.75,2026-05,2026-05-12,2026-05-12|AUDNZD|LONG
GBPUSD,2026-05-13,SHORT,LONDON,Major,1.35432,1.35259,TRAIL,0.83,145.5,True,8,18556.25,2026-05,2026-05-13,2026-05-13|GBPUSD|SHORT
USDCAD,2026-05-13,LONG,LONDON,Major,1.36929,1.37018,TRAIL,1.35,134.32,True,7,18690.57,2026-05,2026-05-13,2026-05-13|USDCAD|LONG
XAUUSD,2026-05-14,LONG,LONDON,Metal,4677.95,4702.825,TP2,0.09,223.87,True,10,18914.44,2026-05,2026-05-14,2026-05-14|XAUUSD|LONG
