date,hour,sym,dir,entry,sl,tp,conf,grade,q,sess,bar_time_msc,rr
2026-04-14,8,AUDUSD,LONG,0.70806,0.70699,0.7107350000000001,0.9,A,9,LONDON,1776153600000,2.500000000000052
2026-04-15,6,USDCAD,SHORT,1.3777099999999998,1.37885,1.3748599999999995,0.7,B,7,LONDON,1776232800000,2.4999999999999027
2026-04-17,9,XAUUSD,LONG,4781.5599999999995,4778.45,4789.334999999999,1.0,A,10,LONDON,1776416400000,2.500000000000146
2026-04-21,9,USDCAD,SHORT,1.3649799999999999,1.36591,1.3626549999999997,0.7,B,7,LONDON,1776762000000,2.4999999999998805
2026-04-23,7,USDCAD,SHORT,1.3673399999999998,1.36843,1.3646149999999992,0.7,B,7,LONDON,1776927600000,2.4999999999998983
2026-04-28,6,USDCAD,SHORT,1.3634899999999999,1.36466,1.3605649999999996,0.7,B,7,LONDON,1777356000000,2.5
2026-04-29,6,XAUUSD,SHORT,4600.900000000001,4603.82,4593.600000000002,1.0,A,10,LONDON,1777442400000,2.500000000000156
2026-04-30,14,AUDNZD,LONG,1.21901,1.2178300000000002,1.2219599999999993,0.4,B,4,NY,1777557600000,2.5
2026-05-01,6,XAUUSD,SHORT,4626.72,4632.5599999999995,4612.120000000003,1.0,A,10,LONDON,1777615200000,2.4999999999999223
2026-05-01,9,USDCHF,SHORT,0.78258,0.78383,0.7794550000000001,0.7,B,7,LONDON,1777626000000,2.5
2026-05-05,8,GBPUSD,LONG,1.3519,1.3503200000000002,1.3558499999999998,0.8,B,8,LONDON,1777968000000,2.49999999999993
2026-05-05,8,USDCAD,SHORT,1.3624999999999998,1.36374,1.3593999999999995,0.7,B,7,LONDON,1777968000000,2.5
2026-05-05,12,AUDUSD,LONG,0.71567,0.71448,0.7186450000000001,0.9,A,9,NY,1777982400000,2.5
2026-05-05,13,USDCHF,LONG,0.78311,0.78164,0.7867849999999998,0.7,B,7,NY,1777986000000,2.4999999999999623
2026-05-07,10,AUDNZD,SHORT,1.2152200000000002,1.2174999999999998,1.2095200000000013,0.4,B,4,LONDON,1778148000000,2.499999999999951
2026-05-07,12,USDCAD,LONG,1.3621800000000002,1.36115,1.3647550000000004,0.7,B,7,NY,1778155200000,2.5
2026-05-08,6,USDCHF,SHORT,0.78049,0.78159,0.7777400000000001,0.7,B,7,LONDON,1778220000000,2.4999999999999494
2026-05-12,12,AUDNZD,LONG,1.2142199999999999,1.21293,1.2174449999999992,0.4,B,4,NY,1778587200000,2.499999999999914
2026-05-13,6,AUDNZD,LONG,1.2145299999999999,1.2132900000000002,1.217629999999999,0.4,B,4,LONDON,1778652000000,2.5
2026-05-13,7,USDCAD,LONG,1.36935,1.36813,1.3724,0.7,B,7,LONDON,1778655600000,2.5
2026-05-13,9,GBPUSD,SHORT,1.35428,1.35609,1.3497549999999996,0.8,B,8,LONDON,1778662800000,2.5000000000000613
2026-05-14,7,XAUUSD,LONG,4677.95,4668.0,4702.824999999999,1.0,A,10,LONDON,1778742000000,2.4999999999999543
